'ID;'2^ID;'decimal;'2^(ID+1)-1;'Total de Bits;'A = decimal * bits;'B = bits / decimal;'A / B;'Potência de 2?;'Bit mais significativo (MSB);'Bit menos significativo (LSB);'n % 2^ID (mod rápido);'Binário com padding;'Distância do início;'Distância do fim;'% entre início e fim;'Paridade de bits;'É primo?;'Meio aritmético;'Meio inferior;'Meio superior;'Média de bits no intervalo;'n & ex (AND);'n | ex (OR);'n ^ ex (XOR);'~n (NOT);'n << 1 (shift left);'n >> 1 (shift right);'Menor com mesmo total de bits;'Maior com mesmo total de bits
'0;'1;'1;'1;'1;'1;'1,000000000;'1;'1;'0;'0;'0;'1;'0;'0;'0,00000;'ímpar;'0;'1,000;'1;'1;'1,000;'1;'1;'0;'-2;'2;'0;'1;'1
'1;'2;'3;'3;'2;'6;'0,666666667;'9;'0;'1;'0;'1;'11;'1;'0;'1,00000;'par;'1;'2,500;'2;'3;'2,000;'2;'3;'1;'-4;'6;'1;'3;'3
'2;'4;'7;'7;'3;'21;'0,428571429;'49;'0;'2;'0;'3;'111;'3;'0;'1,00000;'ímpar;'1;'5,500;'5;'6;'3,000;'5;'7;'2;'-8;'14;'3;'7;'7
'3;'8;'8;'15;'1;'8;'0,125000000;'64;'1;'3;'3;'0;'1000;'0;'7;'0,00000;'ímpar;'0;'11,500;'11;'12;'4,000;'8;'11;'3;'-9;'16;'4;'8;'8
'4;'16;'21;'31;'3;'63;'0,142857143;'441;'0;'4;'0;'5;'10101;'5;'10;'0,33333;'ímpar;'0;'23,500;'23;'24;'5,000;'21;'23;'2;'-22;'42;'10;'19;'28
'5;'32;'49;'63;'3;'147;'0,061224490;'2401;'0;'5;'0;'17;'110001;'17;'14;'0,54839;'ímpar;'0;'47,500;'47;'48;'6,000;'33;'63;'30;'-50;'98;'24;'35;'56
'6;'64;'76;'127;'3;'228;'0,039473684;'5776;'0;'6;'2;'12;'1001100;'12;'51;'0,19048;'ímpar;'0;'95,500;'95;'96;'7,000;'76;'95;'19;'-77;'152;'38;'67;'112
'7;'128;'224;'255;'3;'672;'0,013392857;'50176;'0;'7;'5;'96;'11100000;'96;'31;'0,75591;'ímpar;'0;'191,500;'191;'192;'8,000;'160;'255;'95;'-225;'448;'112;'131;'224
'8;'256;'467;'511;'6;'2802;'0,012847966;'218089;'0;'8;'0;'211;'111010011;'211;'44;'0,82745;'par;'1;'383,500;'383;'384;'9,000;'339;'511;'172;'-468;'934;'233;'287;'504
'9;'512;'514;'1023;'2;'1028;'0,003891051;'264196;'0;'9;'1;'2;'1000000010;'2;'509;'0,00391;'par;'0;'767,500;'767;'768;'10,000;'514;'767;'253;'-515;'1028;'257;'513;'768
'10;'1024;'1155;'2047;'4;'4620;'0,003463203;'1334025;'0;'10;'0;'131;'10010000011;'131;'892;'0,12805;'par;'0;'1535,500;'1535;'1536;'11,000;'1155;'1535;'380;'-1156;'2310;'577;'1031;'1920
'11;'2048;'2683;'4095;'8;'21464;'0,002981737;'7198489;'0;'11;'0;'635;'101001111011;'635;'1412;'0,31021;'par;'1;'3071,500;'3071;'3072;'12,000;'2683;'3071;'388;'-2684;'5366;'1341;'2175;'4080
'12;'4096;'5216;'8191;'4;'20864;'0,000766871;'27206656;'0;'12;'5;'1120;'1010001100000;'1120;'2975;'0,27350;'par;'0;'6143,500;'6143;'6144;'13,000;'5216;'6143;'927;'-5217;'10432;'2608;'4103;'7680
'13;'8192;'10544;'16383;'5;'52720;'0,000474203;'111175936;'0;'13;'4;'2352;'10100100110000;'2352;'5839;'0,28714;'ímpar;'0;'12287,500;'12287;'12288;'14,000;'10544;'12287;'1743;'-10545;'21088;'5272;'8207;'15872
'14;'16384;'26867;'32767;'9;'241803;'0,000334983;'721835689;'0;'14;'0;'10483;'110100011110011;'10483;'5900;'0,63987;'ímpar;'0;'24575,500;'24575;'24576;'15,000;'18675;'32767;'14092;'-26868;'53734;'13433;'16639;'32704
'15;'32768;'51510;'65535;'8;'412080;'0,000155310;'2653280100;'0;'15;'1;'18742;'1100100100110110;'18742;'14025;'0,57198;'par;'0;'49151,500;'49151;'49152;'16,000;'35126;'65535;'30409;'-51511;'103020;'25755;'32895;'65280
'16;'65536;'95823;'131071;'11;'1054053;'0,000114795;'9182047329;'0;'16;'0;'30287;'10111011001001111;'30287;'35248;'0,46215;'ímpar;'0;'98303,500;'98303;'98304;'17,000;'95823;'98303;'2480;'-95824;'191646;'47911;'66559;'131008
'17;'131072;'198669;'262143;'6;'1192014;'0,000030201;'39469371561;'0;'17;'0;'67597;'110000100000001101;'67597;'63474;'0,51573;'par;'0;'196607,500;'196607;'196608;'18,000;'133133;'262143;'129010;'-198670;'397338;'99334;'131103;'258048
'18;'262144;'357535;'524287;'12;'4290420;'0,000033563;'127831276225;'0;'18;'0;'95391;'1010111010010011111;'95391;'166752;'0,36389;'par;'0;'393215,500;'393215;'393216;'19,000;'357535;'393215;'35680;'-357536;'715070;'178767;'264191;'524160
'19;'524288;'863317;'1048575;'10;'8633170;'0,000011583;'745316242489;'0;'19;'0;'339029;'11010010110001010101;'339029;'185258;'0,64665;'par;'0;'786431,500;'786431;'786432;'20,000;'601173;'1048575;'447402;'-863318;'1726634;'431658;'524799;'1047552
'20;'1048576;'1811764;'2097151;'11;'19929404;'0,000006071;'3282488791696;'0;'20;'2;'763188;'110111010010100110100;'763188;'285387;'0,72783;'ímpar;'0;'1572863,500;'1572863;'1572864;'21,000;'1287476;'2097151;'809675;'-1811765;'3623528;'905882;'1049599;'2096128
'21;'2097152;'3007503;'4194303;'12;'36090036;'0,000003990;'9045074295009;'0;'21;'0;'910351;'1011011110010000001111;'910351;'1186800;'0,43409;'par;'0;'3145727,500;'3145727;'3145728;'22,000;'3007503;'3145727;'138224;'-3007504;'6015006;'1503751;'2099199;'4193280
'22;'4194304;'5598802;'8388607;'12;'67185624;'0,000002143;'31346583835204;'0;'22;'1;'1404498;'10101010110111001010010;'1404498;'2789805;'0,33486;'par;'0;'6291455,500;'6291455;'6291456;'23,000;'5598802;'6291455;'692653;'-5598803;'11197604;'2799401;'4196351;'8386560
'23;'8388608;'14428676;'16777215;'9;'129858084;'0,000000624;'208186691112976;'0;'23;'2;'6040068;'110111000010101000000100;'6040068;'2348539;'0,72003;'ímpar;'0;'12582911,500;'12582911;'12582912;'24,000;'10234372;'16777215;'6542843;'-14428677;'28857352;'7214338;'8388863;'16744448
